Source,Author,Text,Part
ammianus.rerum_gestarum.part.14.tess,ammianus,rerum_gestarum,14
ammianus.rerum_gestarum.part.15.tess,ammianus,rerum_gestarum,15
ammianus.rerum_gestarum.part.16.tess,ammianus,rerum_gestarum,16
ammianus.rerum_gestarum.part.17.tess,ammianus,rerum_gestarum,17
ammianus.rerum_gestarum.part.18.tess,ammianus,rerum_gestarum,18
ammianus.rerum_gestarum.part.19.tess,ammianus,rerum_gestarum,19
ammianus.rerum_gestarum.part.20.tess,ammianus,rerum_gestarum,20
ammianus.rerum_gestarum.part.21.tess,ammianus,rerum_gestarum,21
ammianus.rerum_gestarum.part.22.tess,ammianus,rerum_gestarum,22
ammianus.rerum_gestarum.part.23.tess,ammianus,rerum_gestarum,23
ammianus.rerum_gestarum.part.24.tess,ammianus,rerum_gestarum,24
ammianus.rerum_gestarum.part.25.tess,ammianus,rerum_gestarum,25
ammianus.rerum_gestarum.part.26.tess,ammianus,rerum_gestarum,26
ammianus.rerum_gestarum.part.27.tess,ammianus,rerum_gestarum,27
ammianus.rerum_gestarum.part.28.tess,ammianus,rerum_gestarum,28
ammianus.rerum_gestarum.part.29.tess,ammianus,rerum_gestarum,29
ammianus.rerum_gestarum.part.30.tess,ammianus,rerum_gestarum,30
ammianus.rerum_gestarum.part.31.tess,ammianus,rerum_gestarum,31
anonymous.laudes_domini.tess,anonymous,laudes_domini,laudes_domini
apuleius.apologia.tess,apuleius,apologia,apologia
apuleius.florida.tess,apuleius,florida,florida
apuleius.metamorphoses.part.1.tess,apuleius,metamorphoses,1
apuleius.metamorphoses.part.10.tess,apuleius,metamorphoses,10
apuleius.metamorphoses.part.11.tess,apuleius,metamorphoses,11
apuleius.metamorphoses.part.2.tess,apuleius,metamorphoses,2
apuleius.metamorphoses.part.3.tess,apuleius,metamorphoses,3
apuleius.metamorphoses.part.4.tess,apuleius,metamorphoses,4
apuleius.metamorphoses.part.5.tess,apuleius,metamorphoses,5
apuleius.metamorphoses.part.6.tess,apuleius,metamorphoses,6
apuleius.metamorphoses.part.7.tess,apuleius,metamorphoses,7
apuleius.metamorphoses.part.8.tess,apuleius,metamorphoses,8
apuleius.metamorphoses.part.9.tess,apuleius,metamorphoses,9
aristotle.economics_book_3.tess,aristotle,economics_book_3,economics_book_3
augustine.de_doctrina_christiana.part.4.tess,augustine,de_doctrina_christiana,4
augustine.epistulae_selections.part.1.1-10.tess,augustine,epistulae_selections,1-10
augustine.epistulae_selections.part.2.11-20.tess,augustine,epistulae_selections,11-20
augustine.epistulae_selections.part.3.21-30.tess,augustine,epistulae_selections,21-30
augustine.epistulae_selections.part.4.31-40.tess,augustine,epistulae_selections,31-40
augustine.epistulae_selections.part.5.41-50.tess,augustine,epistulae_selections,41-50
augustine.epistulae_selections.part.6.51-62.tess,augustine,epistulae_selections,51-62
aurelius_victor.de_caesaribus.tess,aurelius_victor,de_caesaribus,de_caesaribus
aurelius_victor.epitome_de_caesaribus.tess,aurelius_victor,epitome_de_caesaribus,epitome_de_caesaribus
ausonius.cento_nuptialis.tess,ausonius,cento_nuptialis,cento_nuptialis
ausonius.commemoratio_professorum_burdigalensium.tess,ausonius,commemoratio_professorum_burdigalensium,commemoratio_professorum_burdigalensium
ausonius.cupido_cruciatus.tess,ausonius,cupido_cruciatus,cupido_cruciatus
ausonius.de_bissula.tess,ausonius,de_bissula,de_bissula
ausonius.de_herediolo.tess,ausonius,de_herediolo,de_herediolo
ausonius.de_xii_caesaribus.tess,ausonius,de_xii_caesaribus,de_xii_caesaribus
ausonius.eclogarum_liber.tess,ausonius,eclogarum_liber,eclogarum_liber
ausonius.ephemeris_id_est_totius_diei_negotium.tess,ausonius,ephemeris_id_est_totius_diei_negotium,ephemeris_id_est_totius_diei_negotium
ausonius.epicedion_in_patrem.tess,ausonius,epicedion_in_patrem,epicedion_in_patrem
ausonius.epigrammata_ausonii_de_diversis_rebus.tess,ausonius,epigrammata_ausonii_de_diversis_rebus,epigrammata_ausonii_de_diversis_rebus
ausonius.epistularum.tess,ausonius,epistularum,epistularum
ausonius.epitaphia_heroum_qui_bello_troico_interfuerunt.tess,ausonius,epitaphia_heroum_qui_bello_troico_interfuerunt,epitaphia_heroum_qui_bello_troico_interfuerunt
ausonius.gratiarum_actio.tess,ausonius,gratiarum_actio,gratiarum_actio
ausonius.griphus_ternarii_numeri.tess,ausonius,griphus_ternarii_numeri,griphus_ternarii_numeri
ausonius.libri_de_fastis_conclusio.tess,ausonius,libri_de_fastis_conclusio,libri_de_fastis_conclusio
ausonius.ludus_septem_sapientum.tess,ausonius,ludus_septem_sapientum,ludus_septem_sapientum
ausonius.mosella.tess,ausonius,mosella,mosella
ausonius.oratio_consulis_ausonii_versibus_rhopalicis.tess,ausonius,oratio_consulis_ausonii_versibus_rhopalicis,oratio_consulis_ausonii_versibus_rhopalicis
ausonius.ordo_urbium_nobilium.tess,ausonius,ordo_urbium_nobilium,ordo_urbium_nobilium
ausonius.parentalia.tess,ausonius,parentalia,parentalia
ausonius.praefatiunculae.tess,ausonius,praefatiunculae,praefatiunculae
ausonius.precationes.tess,ausonius,precationes,precationes
ausonius.technopaegnion.tess,ausonius,technopaegnion,technopaegnion
ausonius.versus_paschales_pro_augusto_dicti.tess,ausonius,versus_paschales_pro_augusto_dicti,versus_paschales_pro_augusto_dicti
bede.historiam_ecclesiasticam_gentis_anglorum.part.1.tess,bede,historiam_ecclesiasticam_gentis_anglorum,1
bede.historiam_ecclesiasticam_gentis_anglorum.part.2.tess,bede,historiam_ecclesiasticam_gentis_anglorum,2
bede.historiam_ecclesiasticam_gentis_anglorum.part.3.tess,bede,historiam_ecclesiasticam_gentis_anglorum,3
bede.historiam_ecclesiasticam_gentis_anglorum.part.4.tess,bede,historiam_ecclesiasticam_gentis_anglorum,4
bede.historiam_ecclesiasticam_gentis_anglorum.part.5.tess,bede,historiam_ecclesiasticam_gentis_anglorum,5
boethius.consolatio_philosophiae.part.1.tess,boethius,consolatio_philosophiae,1
boethius.consolatio_philosophiae.part.2.tess,boethius,consolatio_philosophiae,2
boethius.consolatio_philosophiae.part.3.tess,boethius,consolatio_philosophiae,3
boethius.consolatio_philosophiae.part.4.tess,boethius,consolatio_philosophiae,4
boethius.consolatio_philosophiae.part.5.tess,boethius,consolatio_philosophiae,5
boethius.de_fide_catholica.tess,boethius,de_fide_catholica,de_fide_catholica
boethius.liber_de_persona_et_duabus_naturis_contra_eutychen_et_nestorium.tess,boethius,liber_de_persona_et_duabus_naturis_contra_eutychen_et_nestorium,liber_de_persona_et_duabus_naturis_contra_eutychen_et_nestorium
boethius.quomodo_substantiae_in_eo_quod_sint_bonae_sint_cum_non_sint_substantialia_bona.tess,boethius,quomodo_substantiae_in_eo_quod_sint_bonae_sint_cum_non_sint_substantialia_bona,quomodo_substantiae_in_eo_quod_sint_bonae_sint_cum_non_sint_substantialia_bona
boethius.quomodo_trinitas.tess,boethius,quomodo_trinitas,quomodo_trinitas
boethius.utrum_pater.tess,boethius,utrum_pater,utrum_pater
